,name,job_title,industry,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,total employee estimate
1182,aldi, Customer Service Representative,retail,"Bristol, England, England",3,1.0,2.0,2.0,2.0,1.0,268
1183,aldi, Customer Service Representative,printing,"Bristol, England, England",3,1.0,2.0,2.0,2.0,1.0,7
1184,aldi, Sales Assistant,retail,"York, England, England",4,5.0,4.0,4.0,5.0,4.0,268
1185,aldi, Sales Assistant,printing,"York, England, England",4,5.0,4.0,4.0,5.0,4.0,7
1186,aldi, Assistant Manager,retail,"Derby, England, England",4,3.0,4.0,5.0,5.0,4.0,268
1187,aldi, Assistant Manager,printing,"Derby, England, England",4,3.0,4.0,5.0,5.0,4.0,7
1188,aldi, Store Manager,retail,"Bristol, England, England",5,5.0,5.0,5.0,5.0,5.0,268
1189,aldi, Store Manager,printing,"Bristol, England, England",5,5.0,5.0,5.0,5.0,5.0,7
1192,aldi, Customer Assistant,retail,"Sheffield, England, England",5,5.0,5.0,5.0,5.0,5.0,268
1193,aldi, Customer Assistant,printing,"Sheffield, England, England",5,5.0,5.0,5.0,5.0,5.0,7
1194,aldi, Deputy Manager,retail,"Bristol, England, England",2,1.0,3.0,5.0,3.0,2.0,268
1195,aldi, Deputy Manager,printing,"Bristol, England, England",2,1.0,3.0,5.0,3.0,2.0,7
1196,aldi, Store Assistant,retail,"Cockermouth, England, England",5,4.0,3.0,4.0,4.0,4.0,268
1197,aldi, Store Assistant,printing,"Cockermouth, England, England",5,4.0,3.0,4.0,4.0,4.0,7
1198,aldi, Store Assistant,retail,"Bradford, Yorkshire and the Humber, England, England",1,1.0,1.0,1.0,1.0,1.0,268
1199,aldi, Store Assistant,printing,"Bradford, Yorkshire and the Humber, England, England",1,1.0,1.0,1.0,1.0,1.0,7
1202,aldi, Store Assistant,retail,"Chesterfield, England, England",5,3.0,5.0,5.0,5.0,5.0,268
1203,aldi, Store Assistant,printing,"Chesterfield, England, England",5,3.0,5.0,5.0,5.0,5.0,7
1204,aldi, Sales Associate,retail,"Dumfries, Scotland, Scotland",4,3.0,4.0,3.0,3.0,2.0,268
1205,aldi, Sales Associate,printing,"Dumfries, Scotland, Scotland",4,3.0,4.0,3.0,3.0,2.0,7
1212,aldi, Shop Assistant,retail,"Redcar, England, England",2,1.0,2.0,2.0,2.0,2.0,268
1213,aldi, Shop Assistant,printing,"Redcar, England, England",2,1.0,2.0,2.0,2.0,2.0,7
1222,aldi, Stocker,retail,"Leicester, England, England",3,3.0,3.0,3.0,2.0,2.0,268
1223,aldi, Stocker,printing,"Leicester, England, England",3,3.0,3.0,3.0,2.0,2.0,7
1224,aldi, Warehouse Selector,retail,"Cardiff, Wales, Wales",5,5.0,5.0,5.0,5.0,5.0,268
1225,aldi, Warehouse Selector,printing,"Cardiff, Wales, Wales",5,5.0,5.0,5.0,5.0,5.0,7
1226,aldi, Deputy Manager,retail,"Coventry, England, England",1,1.0,1.0,1.0,1.0,1.0,268
1227,aldi, Deputy Manager,printing,"Coventry, England, England",1,1.0,1.0,1.0,1.0,1.0,7
1228,aldi, Finance Administrative Assistant,retail,"Chelmsford, England, England",4,3.0,3.0,2.0,1.0,5.0,268
1229,aldi, Finance Administrative Assistant,printing,"Chelmsford, England, England",4,3.0,3.0,2.0,1.0,5.0,7
1230,aldi, Store Assistant,retail,"Glasgow, Scotland, Scotland",4,1.0,2.0,2.0,3.0,3.0,268
1231,aldi, Store Assistant,printing,"Glasgow, Scotland, Scotland",4,1.0,2.0,2.0,3.0,3.0,7
1232,aldi, Aldi Store Assistant,retail,"Southend, Scotland, Scotland",4,3.0,4.0,5.0,4.0,4.0,268
1233,aldi, Aldi Store Assistant,printing,"Southend, Scotland, Scotland",4,3.0,4.0,5.0,4.0,4.0,7
1234,aldi, Deputy Manager,retail,"Caerphilly, Wales, Wales",4,1.0,4.0,5.0,4.0,4.0,268
1235,aldi, Deputy Manager,printing,"Caerphilly, Wales, Wales",4,1.0,4.0,5.0,4.0,4.0,7
1236,aldi, Manager,retail,"Swindon, Wiltshire, South West England, England, England",2,1.0,3.0,5.0,2.0,2.0,268
1237,aldi, Manager,printing,"Swindon, Wiltshire, South West England, England, England",2,1.0,3.0,5.0,2.0,2.0,7
1238,aldi, Deputy Manager,retail,"Leicester, England, England",3,2.0,2.0,3.0,3.0,3.0,268
1239,aldi, Deputy Manager,printing,"Leicester, England, England",3,2.0,2.0,3.0,3.0,3.0,7
1240,aldi, Store Assistant,retail,"Preston, North West England, England, England",5,5.0,5.0,5.0,5.0,5.0,268
1241,aldi, Store Assistant,printing,"Preston, North West England, England, England",5,5.0,5.0,5.0,5.0,5.0,7
1242,aldi, Aldi Store Assistant,retail,"Wolverhampton, England, England",5,3.0,4.0,4.0,3.0,5.0,268
1243,aldi, Aldi Store Assistant,printing,"Wolverhampton, England, England",5,3.0,4.0,4.0,3.0,5.0,7
1244,aldi, Assistant Manager,retail,"Gosport, England, England",4,1.0,3.0,3.0,4.0,4.0,268
1245,aldi, Assistant Manager,printing,"Gosport, England, England",4,1.0,3.0,3.0,4.0,4.0,7
1246,aldi, Customer Service,retail,"Hyde, England, England",4,2.0,3.0,3.0,4.0,5.0,268
1247,aldi, Customer Service,printing,"Hyde, England, England",4,2.0,3.0,3.0,4.0,5.0,7
1250,aldi, Sales Assistant,retail,"Glasgow, Scotland, Scotland",5,3.0,4.0,5.0,4.0,4.0,268
1251,aldi, Sales Assistant,printing,"Glasgow, Scotland, Scotland",5,3.0,4.0,5.0,4.0,4.0,7
1258,aldi, Unemployed,retail,"Norwich, England, England",1,1.0,2.0,2.0,1.0,2.0,268
1259,aldi, Unemployed,printing,"Norwich, England, England",1,1.0,2.0,2.0,1.0,2.0,7
1260,aldi, Product Owner,retail,"Tamworth, England, England",5,4.0,4.0,3.0,4.0,2.0,268
1261,aldi, Product Owner,printing,"Tamworth, England, England",5,4.0,4.0,3.0,4.0,2.0,7
1264,aldi, Store Assistant,retail,"Birmingham, England, England",4,4.0,4.0,5.0,4.0,4.0,268
1265,aldi, Store Assistant,printing,"Birmingham, England, England",4,4.0,4.0,5.0,4.0,4.0,7
1268,aldi, Deupty Manager,retail,"Stalybridge, England, England",4,1.0,3.0,3.0,4.0,3.0,268
1269,aldi, Deupty Manager,printing,"Stalybridge, England, England",4,1.0,3.0,3.0,4.0,3.0,7
1270,aldi, Deputy Store Manager,retail,"Camborne, England, England",5,3.0,4.0,4.0,4.0,5.0,268
1271,aldi, Deputy Store Manager,printing,"Camborne, England, England",5,3.0,4.0,4.0,4.0,5.0,7
1274,aldi, Area Manager,retail,"London, England, England",3,1.0,2.0,1.0,3.0,3.0,268
1275,aldi, Area Manager,printing,"London, England, England",3,1.0,2.0,1.0,3.0,3.0,7
1278,aldi, TILL OPERATOR,retail,"Reading, England, England",5,5.0,5.0,5.0,5.0,5.0,268
1279,aldi, TILL OPERATOR,printing,"Reading, England, England",5,5.0,5.0,5.0,5.0,5.0,7
1280,aldi, Area Manager,retail,"London, England, England",5,4.0,5.0,5.0,5.0,5.0,268
1281,aldi, Area Manager,printing,"London, England, England",5,4.0,5.0,5.0,5.0,5.0,7
1284,aldi, Shelf Stacker,retail,"Nottingham, England, England",4,3.0,4.0,3.0,4.0,3.0,268
1285,aldi, Shelf Stacker,printing,"Nottingham, England, England",4,3.0,4.0,3.0,4.0,3.0,7
1286,aldi, Assistant Store Manager,retail,"Hove, England, England",1,1.0,3.0,3.0,1.0,3.0,268
1287,aldi, Assistant Store Manager,printing,"Hove, England, England",1,1.0,3.0,3.0,1.0,3.0,7
1288,aldi, Customer Assistant,retail,"Bishops Stortford, England, England",4,2.0,4.0,5.0,5.0,4.0,268
1289,aldi, Customer Assistant,printing,"Bishops Stortford, England, England",4,2.0,4.0,5.0,5.0,4.0,7
1292,aldi, Assistant Store Manager,retail,"Portslade, England, England",1,1.0,1.0,1.0,1.0,5.0,268
1293,aldi, Assistant Store Manager,printing,"Portslade, England, England",1,1.0,1.0,1.0,1.0,5.0,7
1296,aldi, Store Assistant,retail,"Newbury, England, England",2,3.0,1.0,1.0,1.0,2.0,268
1297,aldi, Store Assistant,printing,"Newbury, England, England",2,3.0,1.0,1.0,1.0,2.0,7
1298,aldi, Anonymous Employee,retail,"London, England, England",3,4.0,2.0,2.0,2.0,2.0,268
1299,aldi, Anonymous Employee,printing,"London, England, England",3,4.0,2.0,2.0,2.0,2.0,7
1300,aldi, Area Manager,retail,"Chester, England, England",4,2.0,3.0,4.0,2.0,3.0,268
1301,aldi, Area Manager,printing,"Chester, England, England",4,2.0,3.0,4.0,2.0,3.0,7
1302,aldi, Store Assistant,retail,"Cheltenham, England, England",1,1.0,1.0,1.0,1.0,1.0,268
1303,aldi, Store Assistant,printing,"Cheltenham, England, England",1,1.0,1.0,1.0,1.0,1.0,7
1304,aldi, Store Associate,retail,"Bristol, England, England",5,5.0,5.0,5.0,5.0,5.0,268
1305,aldi, Store Associate,printing,"Bristol, England, England",5,5.0,5.0,5.0,5.0,5.0,7
1306,aldi, Trainee Area Manager,retail,"London, England, England",4,3.0,4.0,3.0,4.0,5.0,268
1307,aldi, Trainee Area Manager,printing,"London, England, England",4,3.0,4.0,3.0,4.0,5.0,7
1308,aldi, Field Monitoring Officer,retail,"Chester, England, England",5,1.0,5.0,5.0,1.0,5.0,268
1309,aldi, Field Monitoring Officer,printing,"Chester, England, England",5,1.0,5.0,5.0,1.0,5.0,7
1312,aldi, Sales Assistant,retail,"Grimbsy, England, England",3,2.0,1.0,3.0,4.0,3.0,268
1313,aldi, Sales Assistant,printing,"Grimbsy, England, England",3,2.0,1.0,3.0,4.0,3.0,7
1314,aldi, Store Assistant,retail,"Middleton, Greater Manchester, North West England, England, England",2,1.0,1.0,5.0,2.0,4.0,268
1315,aldi, Store Assistant,printing,"Middleton, Greater Manchester, North West England, England, England",2,1.0,1.0,5.0,2.0,4.0,7
1316,aldi, Deputy Manager,retail,"Blackburn, England, England",5,5.0,4.0,4.0,2.0,3.0,268
1317,aldi, Deputy Manager,printing,"Blackburn, England, England",5,5.0,4.0,4.0,2.0,3.0,7
1320,aldi, Manager,retail,"London, England, England",1,1.0,3.0,2.0,2.0,5.0,268
1321,aldi, Manager,printing,"London, England, England",1,1.0,3.0,2.0,2.0,5.0,7
1322,aldi, Customer Assistant,retail,"London, England, England",4,3.0,4.0,5.0,4.0,4.0,268
1323,aldi, Customer Assistant,printing,"London, England, England",4,3.0,4.0,5.0,4.0,4.0,7
1324,aldi, Deputy Manager,retail,"Newcastle upon Tyne, England, England",5,2.0,4.0,3.0,4.0,3.0,268
1325,aldi, Deputy Manager,printing,"Newcastle upon Tyne, England, England",5,2.0,4.0,3.0,4.0,3.0,7
1326,aldi, Customer Assistant,retail,"Hemel Hempstead, England, England",5,5.0,5.0,5.0,5.0,5.0,268
1327,aldi, Customer Assistant,printing,"Hemel Hempstead, England, England",5,5.0,5.0,5.0,5.0,5.0,7
1328,aldi, Manager,retail,"Leicester, England, England",5,5.0,5.0,5.0,5.0,5.0,268
1329,aldi, Manager,printing,"Leicester, England, England",5,5.0,5.0,5.0,5.0,5.0,7
1330,aldi, Trainee Openreach Engineer,retail,"Glasgow, Scotland, Scotland",3,1.0,3.0,2.0,3.0,1.0,268
1331,aldi, Trainee Openreach Engineer,printing,"Glasgow, Scotland, Scotland",3,1.0,3.0,2.0,3.0,1.0,7
1332,aldi, Deputy Manager,retail,"Birmingham, England, England",3,1.0,2.0,5.0,4.0,3.0,268
1333,aldi, Deputy Manager,printing,"Birmingham, England, England",3,1.0,2.0,5.0,4.0,3.0,7
1334,aldi, Deputy Store Manager,retail,"London, England, England",5,3.0,5.0,5.0,5.0,5.0,268
1335,aldi, Deputy Store Manager,printing,"London, England, England",5,3.0,5.0,5.0,5.0,5.0,7
1342,aldi, Store Assistant,retail,"Chester, England, England",4,5.0,4.0,5.0,4.0,3.0,268
1343,aldi, Store Assistant,printing,"Chester, England, England",4,5.0,4.0,5.0,4.0,3.0,7
1344,aldi, Aldi Shift Manager,retail,"Manchester, England, England",3,3.0,1.0,2.0,3.0,3.0,268
