,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
1,2020-10-01, Customer Service Representative,"Former Employee, more than 1 year","Bristol, England, England",3,1.0,2.0,2.0,2.0,1.0,2.0,x,r,r,??,Pay package but the make you work extremely hard for it.,Change my hours when they were already agreed in interview. Pretty much said to that if I don't then I will have to leave.,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
3,2020-10-01, Sales Assistant,"Former Employee, more than 1 year","York, England, England",4,5.0,4.0,4.0,5.0,4.0,3.0,v,r,r,"Well paid, good environment","Good pay, good environment, hard work.","Stressful at times, physically demanding,",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
5,2020-10-02, Assistant Manager,"Current Employee, more than 1 year","Derby, England, England",4,3.0,4.0,5.0,5.0,4.0,4.0,v,r,v,Good pay hard work,"Good pay,job security, big company","Hard work, work life balance",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
7,2020-10-03, Store Manager,"Current Employee, more than 10 years","Bristol, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,‘A Family’,"Ownership of Store 
Job security","None 
Experienced 
Great 
Company 
To work
For",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
9,2020-10-07, Customer Assistant,"Current Employee, less than 1 year","Sheffield, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,o,v,Not as bad as i thought,"Very organised , you get paid every second you work , really strong work attitude and friendliness from everyone",Very busy and very fast paced and stressful although time flies when like this,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
11,2020-10-07, Deputy Manager,"Current Employee, more than 5 years","Bristol, England, England",2,1.0,3.0,5.0,3.0,2.0,1.0,x,r,r,"Great people, bad environment","Colleagues are great, job can be fun, you do not get bored and the day goes quick","Pay isnt that great nowadays, area managers are horrendous and do not understand the business at all",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
13,2020-10-08, Store Assistant,"Former Employee, less than 1 year","Cockermouth, England, England",5,4.0,3.0,4.0,4.0,4.0,4.0,v,o,o,good overall,"good pay
good manager 
opportunity to progress 
Hard working","Management team (assistant managers) lets them down 
Need better staff moral",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
15,2020-10-08, Store Assistant,"Current Employee, more than 5 years","Bradford, Yorkshire and the Humber, England, England",1,1.0,1.0,1.0,1.0,1.0,1.0,x,r,r,Not for me !!!!,Used to be a good rate of pay.,Stuck on a till for 8 hours. Only get promoted if your face fits.,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
17,2020-10-09, Store Assistant,Current Employee,"Chesterfield, England, England",5,3.0,5.0,5.0,5.0,5.0,5.0,v,o,v,Great job,"Rewarding, fast paced and lovely atmosphere","Long shifts, hard work and early mornings",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
19,2020-10-10, Sales Associate,"Former Employee, more than 1 year","Dumfries, Scotland, Scotland",4,3.0,4.0,3.0,3.0,2.0,4.0,v,o,v,Good place to work,Great place to work. Nice team of staff and our manager and assistant managers were nice too.,"5am starts. Hard work and very pressurised to meet deadlines on everything you do. Theres no slacking at aldi. Some weeks you could be doing 5am starts, some weeks 10pm finishes so its was a bit rubbish for work life balance.",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
21,2020-10-13, Shop Assistant,Former Employee,"Redcar, England, England",2,1.0,2.0,2.0,2.0,2.0,2.0,o,o,o,Aldi,Good pay good holiday allowance,Poor work life balance and management,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
23,2020-10-16, Stocker,"Former Employee, more than 1 year","Leicester, England, England",3,3.0,3.0,3.0,2.0,2.0,3.0,v,r,o,Great tiring,Money is good. Paid breaks,Always busy tiring. Early starts,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
25,2020-10-16, Warehouse Selector,Current Employee,"Cardiff, Wales, Wales",5,5.0,5.0,5.0,5.0,5.0,5.0,o,o,o,all roles are well paid,all roles are well paid,there is no social life inside work,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
27,2020-10-19, Deputy Manager,"Former Employee, more than 1 year","Coventry, England, England",1,1.0,1.0,1.0,1.0,1.0,1.0,x,o,x,Deputy Managers run the store.,Very very very very little,"Higher management are lazy, sit on Facebook, go home early, clock out on time and leave all the work for deputy managers 

Pay does not reflect work load


Unreachable targets (eg have 6 tills on, work 30+ pallets, card entire store, date check, inventory controls, manage tills and the safe, take 50k, get out at half ten, all on 6 staff inclusive of yourself )

Never finish in time, unsociable hours, very long shifts 

Disciplinaries too happily handed out

Never get paid night hours despite being on contract",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
29,2020-10-19, Finance Administrative Assistant,"Former Employee, more than 10 years","Chelmsford, England, England",4,3.0,3.0,2.0,1.0,5.0,2.0,v,o,v,Well paid and work hard,Paid well but you do work for your money,No progression for office staff at Regional Offices,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
31,2020-10-19, Store Assistant,"Current Employee, more than 5 years","Glasgow, Scotland, Scotland",4,1.0,2.0,2.0,3.0,3.0,2.0,o,o,o,Good place,repetitive so you get use to what to do,Very Hard work and fast pace,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
